0 99 0.0014828000000761676 0.0022638000000370084 10 10
1 1000 0.023842800000011266 0.04464649999999892 23 23
2 10000 0.20077160000005279 0.2647336999998515 25 25
3 99 0.0005461999999170075 0.007105099999989761 99 99
4 1000 0.010764799999833485 0.6384482000000844 1000 1000
5 10000 0.18118619999995644 66.7758523 10000 10000
6 80 0.001175699999976132 0.0020041000000219356 8 8
7 805 0.025884600000154023 0.02346369999986564 8 8
8 8057 0.2170782999999119 0.15435969999998633 8 8
9 94 0.0011385000000245782 0.0023753999998916697 4 4
10 904 0.013169999999945503 0.005932600000051025 4 4
11 9004 0.12967249999996966 0.0873733999999331 4 4

0.001483	0.002264
0.023843	0.044646
0.200772	0.264734
0.000546	0.007105
0.010765	0.638448
0.181186	66.775852
0.001176	0.002004
0.025885	0.023464
0.217078	0.15436
0.001139	0.002375
0.01317		0.005933
0.129672	0.087373
